starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 14:50:25 2018	1516891825	0	2	2	1
Thu Jan 25 14:50:21 2018	1516891821	0	2	2	2
Thu Jan 25 14:50:25 2018	1516891825	0	2	2	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	2	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	2	2
Thu Jan 25 14:50:22 2018	1516891822	0	2	2	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	2	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	2	2
Thu Jan 25 14:50:21 2018	1516891821	0	2	2	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	2	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	2	2
Thu Jan 25 14:50:26 2018	1516891826	0	2	2	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	2	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	2	2
Thu Jan 25 14:50:20 2018	1516891820	0	2	2	2
Thu Jan 25 14:50:20 2018	1516891820	0	2	2	2
Thu Jan 25 14:50:25 2018	1516891825	0	2	2	2
Thu Jan 25 14:50:19 2018	1516891819	0	2	3	2
Thu Jan 25 14:50:21 2018	1516891821	0	2	3	2
Thu Jan 25 14:50:23 2018	1516891823	0	2	3	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	3	2
Thu Jan 25 14:50:22 2018	1516891822	0	2	3	2
Thu Jan 25 14:50:26 2018	1516891826	1	2	3	2
Thu Jan 25 14:50:24 2018	1516891824	0	2	3	2
Thu Jan 25 14:50:21 2018	1516891821	0	3	3	3
Thu Jan 25 14:50:21 2018	1516891821	0	2	3	2
Thu Jan 25 14:50:25 2018	1516891825	0	3	3	3
Thu Jan 25 14:50:23 2018	1516891823	0	3	3	2
Thu Jan 25 14:50:26 2018	1516891826	0	3	3	3
Thu Jan 25 14:50:26 2018	1516891826	0	3	3	3
Thu Jan 25 14:50:21 2018	1516891821	0	3	3	3
Thu Jan 25 14:50:26 2018	1516891826	0	3	3	3
Thu Jan 25 14:50:21 2018	1516891821	0	3	3	3
Thu Jan 25 14:50:26 2018	1516891826	0	3	3	3
Thu Jan 25 14:50:21 2018	1516891821	0	3	3	3
Thu Jan 25 14:50:25 2018	1516891825	0	3	3	3
Thu Jan 25 14:50:24 2018	1516891824	0	3	3	3
Thu Jan 25 14:50:21 2018	1516891821	0	3	3	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	3	3
Thu Jan 25 14:50:21 2018	1516891821	0	3	3	3
Thu Jan 25 14:50:19 2018	1516891819	0	3	3	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	3	3
Thu Jan 25 14:50:19 2018	1516891819	0	3	3	3
Thu Jan 25 14:50:23 2018	1516891823	0	3	3	2
Thu Jan 25 14:50:20 2018	1516891820	0	3	3	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	3	3
Thu Jan 25 14:50:26 2018	1516891826	0	3	3	2
Thu Jan 25 14:50:26 2018	1516891826	0	3	3	2
Thu Jan 25 14:50:22 2018	1516891822	0	3	3	2
Thu Jan 25 14:50:25 2018	1516891825	0	3	3	3
Thu Jan 25 14:50:25 2018	1516891825	0	3	3	3
Thu Jan 25 14:50:21 2018	1516891821	0	3	3	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	3	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	4	3
Thu Jan 25 14:50:21 2018	1516891821	0	3	4	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	4	3
Thu Jan 25 14:50:22 2018	1516891822	0	3	4	2
Thu Jan 25 14:50:20 2018	1516891820	0	3	4	3
Thu Jan 25 14:50:25 2018	1516891825	1	3	4	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	4	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	4	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	4	3
Thu Jan 25 14:50:26 2018	1516891826	0	3	4	3
Thu Jan 25 14:50:26 2018	1516891826	0	4	4	3
Thu Jan 25 14:50:21 2018	1516891821	0	4	4	3
Thu Jan 25 14:50:20 2018	1516891820	0	3	4	3
Thu Jan 25 14:50:25 2018	1516891825	0	4	4	4
Thu Jan 25 14:50:26 2018	1516891826	0	4	4	2
Thu Jan 25 14:50:19 2018	1516891819	0	4	4	3
Thu Jan 25 14:50:20 2018	1516891820	0	4	4	3
Thu Jan 25 14:50:19 2018	1516891819	0	4	4	4
Thu Jan 25 14:50:25 2018	1516891825	0	4	4	4
Thu Jan 25 14:50:21 2018	1516891821	0	4	4	4
Thu Jan 25 14:50:26 2018	1516891826	0	4	4	2
Thu Jan 25 14:50:24 2018	1516891824	0	4	4	4
Thu Jan 25 14:50:23 2018	1516891823	0	4	4	4
Thu Jan 25 14:50:19 2018	1516891819	0	4	4	3
Thu Jan 25 14:50:26 2018	1516891826	0	4	4	4
Thu Jan 25 14:50:21 2018	1516891821	0	4	4	4
Thu Jan 25 14:50:23 2018	1516891823	0	4	4	4
Thu Jan 25 14:50:23 2018	1516891823	0	4	4	4
Thu Jan 25 14:50:22 2018	1516891822	0	4	4	2
Thu Jan 25 14:50:26 2018	1516891826	0	4	4	4
Thu Jan 25 14:50:25 2018	1516891825	0	4	4	4
Thu Jan 25 14:50:25 2018	1516891825	0	4	4	4
Thu Jan 25 14:50:23 2018	1516891823	0	4	4	4
Thu Jan 25 14:50:23 2018	1516891823	0	4	4	4
Thu Jan 25 14:50:26 2018	1516891826	0	4	4	3
Thu Jan 25 14:50:25 2018	1516891825	0	4	4	4
Thu Jan 25 14:50:19 2018	1516891819	0	4	4	4
Thu Jan 25 14:50:26 2018	1516891826	0	4	4	4
Thu Jan 25 14:50:21 2018	1516891821	0	4	4	4
Thu Jan 25 14:50:19 2018	1516891819	0	4	4	4
Thu Jan 25 14:50:25 2018	1516891825	0	4	4	4
Thu Jan 25 14:50:21 2018	1516891821	0	4	4	4
Thu Jan 25 14:50:22 2018	1516891822	0	4	4	4
Thu Jan 25 14:50:24 2018	1516891824	0	4	4	4
Thu Jan 25 14:50:25 2018	1516891825	0	4	4	4
Thu Jan 25 14:50:20 2018	1516891820	0	4	5	4
Thu Jan 25 14:50:20 2018	1516891820	0	4	5	4
Thu Jan 25 14:50:20 2018	1516891820	0	4	5	4
Thu Jan 25 14:50:20 2018	1516891820	0	4	5	4
Thu Jan 25 14:50:24 2018	1516891824	0	4	5	4
Thu Jan 25 14:50:20 2018	1516891820	0	4	5	4
Thu Jan 25 14:50:19 2018	1516891819	0	4	5	4
Thu Jan 25 14:50:20 2018	1516891820	0	4	5	4
Thu Jan 25 14:50:22 2018	1516891822	0	4	5	4
Thu Jan 25 14:50:20 2018	1516891820	0	4	5	4
Thu Jan 25 14:50:20 2018	1516891820	0	4	5	4
Thu Jan 25 14:50:23 2018	1516891823	0	4	5	4
Thu Jan 25 14:50:23 2018	1516891823	0	4	5	4
Thu Jan 25 14:50:25 2018	1516891825	0	4	5	4
Thu Jan 25 14:50:20 2018	1516891820	0	5	5	4
Thu Jan 25 14:50:23 2018	1516891823	0	5	5	5
Thu Jan 25 14:50:20 2018	1516891820	0	5	5	3
Thu Jan 25 14:50:23 2018	1516891823	0	5	5	4
Thu Jan 25 14:50:22 2018	1516891822	0	5	5	4
Thu Jan 25 14:50:22 2018	1516891822	0	5	5	4
Thu Jan 25 14:50:24 2018	1516891824	0	5	5	5
Thu Jan 25 14:50:20 2018	1516891820	0	5	5	5
Thu Jan 25 14:50:24 2018	1516891824	0	5	5	4
Thu Jan 25 14:50:23 2018	1516891823	0	5	5	5
Thu Jan 25 14:50:21 2018	1516891821	0	5	5	5
Thu Jan 25 14:50:25 2018	1516891825	0	5	5	5
Thu Jan 25 14:50:19 2018	1516891819	0	5	5	4
Thu Jan 25 14:50:25 2018	1516891825	0	5	5	5
Thu Jan 25 14:50:21 2018	1516891821	0	5	5	5
Thu Jan 25 14:50:26 2018	1516891826	0	5	5	5
Thu Jan 25 14:50:20 2018	1516891820	0	5	5	5
Thu Jan 25 14:50:24 2018	1516891824	0	5	5	5
Thu Jan 25 14:50:21 2018	1516891821	0	5	5	2
Thu Jan 25 14:50:22 2018	1516891822	0	5	5	2
Thu Jan 25 14:50:20 2018	1516891820	0	5	5	5
Thu Jan 25 14:50:20 2018	1516891820	0	5	5	5
Thu Jan 25 14:50:25 2018	1516891825	0	5	5	5
Thu Jan 25 14:50:23 2018	1516891823	0	5	6	5
Thu Jan 25 14:50:23 2018	1516891823	0	5	6	5
Thu Jan 25 14:50:26 2018	1516891826	0	5	6	5
Thu Jan 25 14:50:25 2018	1516891825	2	4	6	4
Thu Jan 25 14:50:21 2018	1516891821	0	5	6	5
Thu Jan 25 14:50:24 2018	1516891824	0	5	6	3
Thu Jan 25 14:50:22 2018	1516891822	0	5	6	5
Thu Jan 25 14:50:22 2018	1516891822	0	5	6	5
Thu Jan 25 14:50:22 2018	1516891822	0	5	6	5
Thu Jan 25 14:50:22 2018	1516891822	0	5	6	5
Thu Jan 25 14:50:23 2018	1516891823	0	5	6	5
Thu Jan 25 14:50:20 2018	1516891820	0	5	6	5
Thu Jan 25 14:50:20 2018	1516891820	1	5	6	5
Thu Jan 25 14:50:23 2018	1516891823	0	6	6	5
Thu Jan 25 14:50:25 2018	1516891825	0	5	6	5
Thu Jan 25 14:50:24 2018	1516891824	0	5	6	5
Thu Jan 25 14:50:21 2018	1516891821	0	6	6	5
Thu Jan 25 14:50:20 2018	1516891820	0	6	6	5
Thu Jan 25 14:50:20 2018	1516891820	0	6	6	6
Thu Jan 25 14:50:20 2018	1516891820	0	6	6	5
Thu Jan 25 14:50:23 2018	1516891823	0	6	6	6
Thu Jan 25 14:50:20 2018	1516891820	1	5	6	5
Thu Jan 25 14:50:21 2018	1516891821	0	6	6	6
Thu Jan 25 14:50:21 2018	1516891821	0	6	6	6
Thu Jan 25 14:50:22 2018	1516891822	0	6	6	6
Thu Jan 25 14:50:24 2018	1516891824	0	6	6	1
