starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 14:48:56 2018	1516891736	3	24	27	24
Thu Jan 25 14:48:56 2018	1516891736	3	25	28	25
Thu Jan 25 14:49:08 2018	1516891748	0	31	31	31
Thu Jan 25 14:49:08 2018	1516891748	0	31	31	31
Thu Jan 25 14:48:58 2018	1516891738	0	34	34	34
Thu Jan 25 14:48:58 2018	1516891738	0	34	34	34
Thu Jan 25 14:49:01 2018	1516891741	1	34	35	33
Thu Jan 25 14:48:58 2018	1516891738	0	35	35	34
Thu Jan 25 14:49:01 2018	1516891741	1	34	35	34
Thu Jan 25 14:49:01 2018	1516891741	2	33	35	33
Thu Jan 25 14:48:58 2018	1516891738	0	35	35	35
Thu Jan 25 14:48:58 2018	1516891738	0	35	35	35
Thu Jan 25 14:48:58 2018	1516891738	0	35	35	35
Thu Jan 25 14:48:59 2018	1516891739	0	35	36	35
Thu Jan 25 14:48:59 2018	1516891739	0	35	36	35
Thu Jan 25 14:48:57 2018	1516891737	0	35	36	35
Thu Jan 25 14:48:57 2018	1516891737	0	35	36	35
Thu Jan 25 14:49:01 2018	1516891741	2	34	36	34
Thu Jan 25 14:49:01 2018	1516891741	2	34	36	34
Thu Jan 25 14:49:01 2018	1516891741	1	34	36	34
Thu Jan 25 14:48:59 2018	1516891739	0	36	36	35
Thu Jan 25 14:48:58 2018	1516891738	0	36	36	35
Thu Jan 25 14:48:58 2018	1516891738	0	36	36	35
Thu Jan 25 14:48:59 2018	1516891739	0	36	36	36
Thu Jan 25 14:48:58 2018	1516891738	0	36	36	36
Thu Jan 25 14:48:58 2018	1516891738	0	36	36	36
Thu Jan 25 14:48:58 2018	1516891738	0	36	37	36
Thu Jan 25 14:48:58 2018	1516891738	0	36	37	36
Thu Jan 25 14:48:58 2018	1516891738	0	36	37	36
Thu Jan 25 14:48:58 2018	1516891738	0	37	37	37
Thu Jan 25 14:48:58 2018	1516891738	1	36	37	36
Thu Jan 25 14:48:58 2018	1516891738	0	37	37	37
Thu Jan 25 14:48:58 2018	1516891738	0	37	37	37
Thu Jan 25 14:49:08 2018	1516891748	0	37	37	37
Thu Jan 25 14:49:08 2018	1516891748	0	37	37	37
Thu Jan 25 14:49:01 2018	1516891741	0	37	37	37
Thu Jan 25 14:48:57 2018	1516891737	0	37	37	37
Thu Jan 25 14:49:08 2018	1516891748	0	37	37	37
Thu Jan 25 14:49:08 2018	1516891748	0	37	37	37
Thu Jan 25 14:49:08 2018	1516891748	0	37	37	37
Thu Jan 25 14:48:57 2018	1516891737	0	37	37	37
Thu Jan 25 14:49:01 2018	1516891741	0	37	37	36
Thu Jan 25 14:49:01 2018	1516891741	0	37	37	37
Thu Jan 25 14:49:01 2018	1516891741	0	37	37	37
Thu Jan 25 14:48:57 2018	1516891737	0	37	37	37
Thu Jan 25 14:49:08 2018	1516891748	0	37	37	37
Thu Jan 25 14:48:57 2018	1516891737	0	37	37	37
Thu Jan 25 14:49:08 2018	1516891748	0	37	37	37
Thu Jan 25 14:48:58 2018	1516891738	0	37	37	37
Thu Jan 25 14:49:08 2018	1516891748	0	37	37	37
Thu Jan 25 14:48:57 2018	1516891737	0	37	38	37
Thu Jan 25 14:48:59 2018	1516891739	1	37	38	37
Thu Jan 25 14:49:01 2018	1516891741	0	37	38	37
Thu Jan 25 14:48:58 2018	1516891738	0	37	38	35
Thu Jan 25 14:49:00 2018	1516891740	0	37	38	37
Thu Jan 25 14:48:59 2018	1516891739	0	37	38	37
Thu Jan 25 14:48:58 2018	1516891738	0	37	38	37
Thu Jan 25 14:48:58 2018	1516891738	0	37	38	37
Thu Jan 25 14:48:58 2018	1516891738	0	37	38	37
Thu Jan 25 14:48:59 2018	1516891739	0	37	38	37
Thu Jan 25 14:48:58 2018	1516891738	0	37	38	37
Thu Jan 25 14:49:00 2018	1516891740	0	37	38	37
Thu Jan 25 14:49:01 2018	1516891741	0	37	38	37
Thu Jan 25 14:49:01 2018	1516891741	0	38	38	37
Thu Jan 25 14:48:59 2018	1516891739	0	37	38	37
Thu Jan 25 14:48:59 2018	1516891739	1	37	38	37
Thu Jan 25 14:49:01 2018	1516891741	0	37	38	37
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	37
Thu Jan 25 14:48:59 2018	1516891739	0	37	38	37
Thu Jan 25 14:48:58 2018	1516891738	0	38	38	38
Thu Jan 25 14:49:03 2018	1516891743	0	37	38	37
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	37
Thu Jan 25 14:48:59 2018	1516891739	1	37	38	37
Thu Jan 25 14:49:01 2018	1516891741	0	38	38	38
Thu Jan 25 14:49:03 2018	1516891743	0	38	38	38
Thu Jan 25 14:49:00 2018	1516891740	0	38	38	38
Thu Jan 25 14:49:03 2018	1516891743	0	38	38	37
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	37
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:49:01 2018	1516891741	0	38	38	38
Thu Jan 25 14:48:58 2018	1516891738	0	38	38	37
Thu Jan 25 14:49:00 2018	1516891740	0	38	38	38
Thu Jan 25 14:49:00 2018	1516891740	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:49:01 2018	1516891741	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	1	37	38	37
Thu Jan 25 14:48:57 2018	1516891737	0	38	38	36
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	37
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:49:01 2018	1516891741	0	38	38	38
Thu Jan 25 14:49:00 2018	1516891740	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:48:58 2018	1516891738	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:49:03 2018	1516891743	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:48:58 2018	1516891738	0	38	38	38
Thu Jan 25 14:49:01 2018	1516891741	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:48:59 2018	1516891739	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:48:58 2018	1516891738	0	38	38	38
Thu Jan 25 14:49:03 2018	1516891743	0	38	38	37
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:49:01 2018	1516891741	0	38	38	38
Thu Jan 25 14:49:01 2018	1516891741	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
Thu Jan 25 14:48:58 2018	1516891738	0	38	38	38
Thu Jan 25 14:49:08 2018	1516891748	0	38	38	38
