starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 14:37:21 2018	1516891041	0	10	10	10
Thu Jan 25 14:37:21 2018	1516891041	0	13	13	13
Thu Jan 25 14:37:21 2018	1516891041	0	18	18	18
Thu Jan 25 14:37:21 2018	1516891041	0	19	19	19
Thu Jan 25 14:37:13 2018	1516891033	0	20	20	20
Thu Jan 25 14:37:13 2018	1516891033	0	20	20	20
Thu Jan 25 14:37:21 2018	1516891041	0	20	21	20
Thu Jan 25 14:37:21 2018	1516891041	0	21	21	20
Thu Jan 25 14:37:10 2018	1516891030	0	21	21	21
Thu Jan 25 14:37:21 2018	1516891041	0	21	22	21
Thu Jan 25 14:37:18 2018	1516891038	0	22	22	22
Thu Jan 25 14:37:11 2018	1516891031	0	22	23	22
Thu Jan 25 14:37:13 2018	1516891033	0	23	23	23
Thu Jan 25 14:37:18 2018	1516891038	0	23	23	23
Thu Jan 25 14:37:10 2018	1516891030	0	23	24	23
Thu Jan 25 14:37:10 2018	1516891030	0	24	24	24
Thu Jan 25 14:37:10 2018	1516891030	0	24	24	24
Thu Jan 25 14:37:08 2018	1516891028	6	19	25	19
Thu Jan 25 14:37:12 2018	1516891032	0	24	25	24
Thu Jan 25 14:37:05 2018	1516891025	0	25	25	24
Thu Jan 25 14:37:13 2018	1516891033	0	25	25	25
Thu Jan 25 14:37:18 2018	1516891038	0	26	26	26
Thu Jan 25 14:37:21 2018	1516891041	0	26	27	26
Thu Jan 25 14:37:05 2018	1516891025	0	26	27	26
Thu Jan 25 14:37:10 2018	1516891030	0	27	27	27
Thu Jan 25 14:37:11 2018	1516891031	0	27	27	27
Thu Jan 25 14:37:10 2018	1516891030	0	27	28	27
Thu Jan 25 14:37:11 2018	1516891031	0	27	28	27
Thu Jan 25 14:37:10 2018	1516891030	0	27	28	27
Thu Jan 25 14:37:11 2018	1516891031	0	27	28	27
Thu Jan 25 14:37:17 2018	1516891037	0	28	28	28
Thu Jan 25 14:37:20 2018	1516891040	0	29	29	29
Thu Jan 25 14:37:11 2018	1516891031	0	29	30	29
Thu Jan 25 14:37:05 2018	1516891025	0	29	30	29
Thu Jan 25 14:37:10 2018	1516891030	0	30	30	29
Thu Jan 25 14:37:21 2018	1516891041	0	30	30	30
Thu Jan 25 14:37:13 2018	1516891033	0	30	30	30
Thu Jan 25 14:37:13 2018	1516891033	0	30	31	30
Thu Jan 25 14:37:05 2018	1516891025	0	30	31	30
Thu Jan 25 14:37:05 2018	1516891025	0	30	31	30
Thu Jan 25 14:37:05 2018	1516891025	0	30	31	30
Thu Jan 25 14:37:11 2018	1516891031	0	31	31	31
Thu Jan 25 14:37:05 2018	1516891025	0	31	31	30
Thu Jan 25 14:37:16 2018	1516891036	1	31	32	31
Thu Jan 25 14:37:18 2018	1516891038	0	32	32	32
Thu Jan 25 14:37:21 2018	1516891041	0	33	33	32
Thu Jan 25 14:37:17 2018	1516891037	0	33	33	33
Thu Jan 25 14:37:21 2018	1516891041	0	33	33	33
Thu Jan 25 14:37:13 2018	1516891033	0	33	34	33
Thu Jan 25 14:37:13 2018	1516891033	0	34	34	33
Thu Jan 25 14:37:21 2018	1516891041	1	35	35	35
Thu Jan 25 14:37:24 2018	1516891044	0	35	36	35
Thu Jan 25 14:37:20 2018	1516891040	0	36	36	36
Thu Jan 25 14:37:10 2018	1516891030	0	36	36	36
Thu Jan 25 14:37:12 2018	1516891032	0	36	36	36
Thu Jan 25 14:37:21 2018	1516891041	1	35	36	35
Thu Jan 25 14:37:20 2018	1516891040	0	36	36	36
Thu Jan 25 14:37:21 2018	1516891041	0	36	36	36
Thu Jan 25 14:37:08 2018	1516891028	1	36	37	36
Thu Jan 25 14:37:08 2018	1516891028	1	36	37	36
Thu Jan 25 14:37:13 2018	1516891033	0	36	37	36
Thu Jan 25 14:37:24 2018	1516891044	0	36	37	36
Thu Jan 25 14:37:18 2018	1516891038	1	36	37	36
Thu Jan 25 14:37:20 2018	1516891040	0	37	37	37
Thu Jan 25 14:37:08 2018	1516891028	0	37	37	37
Thu Jan 25 14:37:20 2018	1516891040	0	37	37	37
Thu Jan 25 14:37:21 2018	1516891041	1	37	37	37
Thu Jan 25 14:37:24 2018	1516891044	0	37	38	37
Thu Jan 25 14:37:24 2018	1516891044	0	37	38	37
Thu Jan 25 14:37:11 2018	1516891031	0	38	38	38
Thu Jan 25 14:37:10 2018	1516891030	0	38	38	38
Thu Jan 25 14:37:23 2018	1516891043	1	38	39	38
Thu Jan 25 14:37:09 2018	1516891029	0	39	39	39
Thu Jan 25 14:37:05 2018	1516891025	0	39	39	39
Thu Jan 25 14:37:23 2018	1516891043	0	39	39	39
Thu Jan 25 14:37:18 2018	1516891038	1	39	39	39
Thu Jan 25 14:37:18 2018	1516891038	0	39	39	39
Thu Jan 25 14:37:18 2018	1516891038	1	39	39	39
Thu Jan 25 14:37:12 2018	1516891032	0	39	40	39
Thu Jan 25 14:37:17 2018	1516891037	0	39	40	39
Thu Jan 25 14:37:16 2018	1516891036	0	40	41	40
Thu Jan 25 14:37:11 2018	1516891031	0	40	41	40
Thu Jan 25 14:37:18 2018	1516891038	0	40	41	40
Thu Jan 25 14:37:14 2018	1516891034	0	40	41	40
Thu Jan 25 14:37:05 2018	1516891025	0	40	41	40
Thu Jan 25 14:37:14 2018	1516891034	0	41	41	40
Thu Jan 25 14:37:05 2018	1516891025	0	40	41	40
Thu Jan 25 14:37:05 2018	1516891025	0	40	41	40
Thu Jan 25 14:37:14 2018	1516891034	0	41	41	40
Thu Jan 25 14:37:05 2018	1516891025	0	40	41	40
Thu Jan 25 14:37:14 2018	1516891034	0	40	41	40
Thu Jan 25 14:37:22 2018	1516891042	0	41	41	41
Thu Jan 25 14:37:11 2018	1516891031	0	41	41	41
Thu Jan 25 14:37:22 2018	1516891042	0	41	41	41
Thu Jan 25 14:37:16 2018	1516891036	0	41	41	41
Thu Jan 25 14:37:20 2018	1516891040	0	41	41	41
Thu Jan 25 14:37:12 2018	1516891032	0	41	42	41
Thu Jan 25 14:37:05 2018	1516891025	0	41	42	41
Thu Jan 25 14:37:20 2018	1516891040	0	41	42	41
Thu Jan 25 14:37:10 2018	1516891030	0	41	42	41
Thu Jan 25 14:37:14 2018	1516891034	0	41	42	41
Thu Jan 25 14:37:21 2018	1516891041	0	41	42	41
Thu Jan 25 14:37:11 2018	1516891031	0	42	42	42
Thu Jan 25 14:37:13 2018	1516891033	0	42	42	42
Thu Jan 25 14:37:13 2018	1516891033	0	42	42	42
Thu Jan 25 14:37:23 2018	1516891043	0	42	43	42
Thu Jan 25 14:37:10 2018	1516891030	0	42	43	42
Thu Jan 25 14:37:12 2018	1516891032	0	42	43	42
Thu Jan 25 14:37:13 2018	1516891033	0	42	43	42
Thu Jan 25 14:37:11 2018	1516891031	0	42	43	42
Thu Jan 25 14:37:12 2018	1516891032	0	43	43	43
Thu Jan 25 14:37:12 2018	1516891032	0	43	43	43
Thu Jan 25 14:37:12 2018	1516891032	0	43	43	43
Thu Jan 25 14:37:06 2018	1516891026	0	43	43	43
Thu Jan 25 14:37:23 2018	1516891043	0	43	43	43
Thu Jan 25 14:37:14 2018	1516891034	0	43	44	43
Thu Jan 25 14:37:07 2018	1516891027	0	43	44	43
Thu Jan 25 14:37:08 2018	1516891028	0	43	44	43
Thu Jan 25 14:37:08 2018	1516891028	0	44	44	44
Thu Jan 25 14:37:18 2018	1516891038	0	44	44	44
Thu Jan 25 14:37:13 2018	1516891033	0	44	44	44
Thu Jan 25 14:37:22 2018	1516891042	0	44	44	44
Thu Jan 25 14:37:11 2018	1516891031	0	44	44	44
