starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 27 17:48:14 2018	1517075294	0	12	12	12
Sat Jan 27 17:48:14 2018	1517075294	0	15	15	14
Sat Jan 27 17:48:19 2018	1517075299	0	16	16	16
Sat Jan 27 17:48:23 2018	1517075303	1	16	17	16
Sat Jan 27 17:48:23 2018	1517075303	0	17	18	17
Sat Jan 27 17:48:23 2018	1517075303	0	18	19	18
Sat Jan 27 17:48:19 2018	1517075299	0	19	19	19
Sat Jan 27 17:48:14 2018	1517075294	0	19	20	19
Sat Jan 27 17:48:16 2018	1517075296	0	20	20	19
Sat Jan 27 17:48:24 2018	1517075304	0	20	20	20
Sat Jan 27 17:48:19 2018	1517075299	0	20	21	20
Sat Jan 27 17:48:16 2018	1517075296	0	21	21	21
Sat Jan 27 17:48:19 2018	1517075299	0	21	21	20
Sat Jan 27 17:48:16 2018	1517075296	0	21	22	21
Sat Jan 27 17:48:23 2018	1517075303	1	21	22	21
Sat Jan 27 17:48:16 2018	1517075296	0	22	22	22
Sat Jan 27 17:48:23 2018	1517075303	1	21	22	21
Sat Jan 27 17:48:19 2018	1517075299	0	22	22	22
Sat Jan 27 17:48:16 2018	1517075296	0	22	22	22
Sat Jan 27 17:48:16 2018	1517075296	0	22	22	22
Sat Jan 27 17:48:19 2018	1517075299	0	22	22	22
Sat Jan 27 17:48:19 2018	1517075299	0	22	22	22
Sat Jan 27 17:48:16 2018	1517075296	0	22	23	22
Sat Jan 27 17:48:23 2018	1517075303	0	23	23	22
Sat Jan 27 17:48:16 2018	1517075296	0	23	23	22
Sat Jan 27 17:48:23 2018	1517075303	0	23	23	23
Sat Jan 27 17:48:16 2018	1517075296	0	23	23	23
Sat Jan 27 17:48:16 2018	1517075296	0	23	23	23
Sat Jan 27 17:48:23 2018	1517075303	1	23	24	23
Sat Jan 27 17:48:19 2018	1517075299	0	23	24	23
Sat Jan 27 17:48:23 2018	1517075303	0	23	24	23
