starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 13:26:03 2018	1516886763	0	1	2	1
Thu Jan 25 13:26:03 2018	1516886763	0	1	2	1
Thu Jan 25 13:26:03 2018	1516886763	0	1	2	1
Thu Jan 25 13:26:03 2018	1516886763	0	1	2	1
Thu Jan 25 13:26:03 2018	1516886763	0	1	2	1
Thu Jan 25 13:26:03 2018	1516886763	0	1	2	1
Thu Jan 25 13:26:02 2018	1516886762	0	1	2	1
Thu Jan 25 13:26:07 2018	1516886767	0	2	2	2
Thu Jan 25 13:26:05 2018	1516886765	0	2	2	1
Thu Jan 25 13:26:03 2018	1516886763	0	2	2	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	2	2
Thu Jan 25 13:26:06 2018	1516886766	0	2	2	2
Thu Jan 25 13:26:02 2018	1516886762	0	2	2	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	2	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	2	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	2	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	2	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	2	2
Thu Jan 25 13:26:06 2018	1516886766	0	2	2	2
Thu Jan 25 13:26:05 2018	1516886765	1	1	2	1
Thu Jan 25 13:26:02 2018	1516886762	0	2	2	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	2	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	2	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	2	2
Thu Jan 25 13:26:07 2018	1516886767	0	2	2	2
Thu Jan 25 13:26:05 2018	1516886765	0	2	2	2
Thu Jan 25 13:26:07 2018	1516886767	0	2	2	2
Thu Jan 25 13:26:05 2018	1516886765	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	2	3	2
Thu Jan 25 13:26:05 2018	1516886765	0	2	3	2
Thu Jan 25 13:26:07 2018	1516886767	0	2	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	1	2	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	3	2
Thu Jan 25 13:26:05 2018	1516886765	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	2	3	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	3	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	3	2
Thu Jan 25 13:26:06 2018	1516886766	0	2	3	2
Thu Jan 25 13:26:06 2018	1516886766	0	2	3	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	3	2
Thu Jan 25 13:26:05 2018	1516886765	0	2	3	2
Thu Jan 25 13:26:05 2018	1516886765	0	2	3	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	3	2
Thu Jan 25 13:26:06 2018	1516886766	0	2	3	2
Thu Jan 25 13:26:07 2018	1516886767	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	2	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	3	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	2	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	2
Thu Jan 25 13:26:01 2018	1516886761	0	2	3	2
Thu Jan 25 13:26:07 2018	1516886767	0	2	3	2
Thu Jan 25 13:26:04 2018	1516886764	0	3	3	2
Thu Jan 25 13:26:05 2018	1516886765	0	3	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	3	3	3
Thu Jan 25 13:26:05 2018	1516886765	0	2	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	3	3	2
Thu Jan 25 13:26:05 2018	1516886765	0	2	3	2
Thu Jan 25 13:26:07 2018	1516886767	0	3	3	3
Thu Jan 25 13:26:07 2018	1516886767	0	3	3	2
Thu Jan 25 13:26:03 2018	1516886763	0	3	3	3
Thu Jan 25 13:26:01 2018	1516886761	0	3	3	3
Thu Jan 25 13:26:07 2018	1516886767	0	3	3	2
Thu Jan 25 13:26:03 2018	1516886763	1	2	3	2
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	2
Thu Jan 25 13:26:05 2018	1516886765	0	3	3	3
Thu Jan 25 13:26:01 2018	1516886761	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	3	3
Thu Jan 25 13:26:07 2018	1516886767	1	2	3	2
Thu Jan 25 13:26:07 2018	1516886767	0	3	3	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	3	3
Thu Jan 25 13:26:03 2018	1516886763	0	3	3	2
Thu Jan 25 13:26:04 2018	1516886764	0	3	3	3
Thu Jan 25 13:26:07 2018	1516886767	1	3	3	2
Thu Jan 25 13:26:07 2018	1516886767	0	3	3	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	3	3
Thu Jan 25 13:26:05 2018	1516886765	0	3	3	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	3	3
Thu Jan 25 13:26:01 2018	1516886761	0	3	3	3
Thu Jan 25 13:26:07 2018	1516886767	0	3	3	2
Thu Jan 25 13:26:05 2018	1516886765	0	3	3	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	3	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:07 2018	1516886767	0	3	3	3
Thu Jan 25 13:26:07 2018	1516886767	1	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	3	3
Thu Jan 25 13:26:03 2018	1516886763	0	3	3	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	3	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:05 2018	1516886765	0	3	3	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	3	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	3	3
Thu Jan 25 13:26:02 2018	1516886762	1	3	4	3
Thu Jan 25 13:26:05 2018	1516886765	0	3	4	3
Thu Jan 25 13:26:05 2018	1516886765	0	3	4	3
Thu Jan 25 13:26:05 2018	1516886765	0	3	4	3
Thu Jan 25 13:26:06 2018	1516886766	0	3	4	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	4	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	4	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	4	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	4	3
Thu Jan 25 13:26:01 2018	1516886761	0	3	4	3
Thu Jan 25 13:26:05 2018	1516886765	0	3	4	3
Thu Jan 25 13:26:05 2018	1516886765	0	3	4	3
Thu Jan 25 13:26:02 2018	1516886762	0	3	4	3
Thu Jan 25 13:26:01 2018	1516886761	0	3	4	3
Thu Jan 25 13:26:03 2018	1516886763	0	3	4	3
Thu Jan 25 13:26:04 2018	1516886764	0	3	4	3
Thu Jan 25 13:26:04 2018	1516886764	0	4	4	4
Thu Jan 25 13:26:03 2018	1516886763	0	3	4	3
Thu Jan 25 13:26:06 2018	1516886766	0	4	4	3
Thu Jan 25 13:26:03 2018	1516886763	0	4	4	3
Thu Jan 25 13:26:04 2018	1516886764	0	4	4	4
Thu Jan 25 13:26:07 2018	1516886767	0	4	4	4
Thu Jan 25 13:26:01 2018	1516886761	0	3	4	3
Thu Jan 25 13:26:01 2018	1516886761	0	4	4	4
Thu Jan 25 13:26:01 2018	1516886761	0	4	4	4
Thu Jan 25 13:26:03 2018	1516886763	0	4	4	4
Thu Jan 25 13:26:05 2018	1516886765	1	3	4	3
Thu Jan 25 13:26:03 2018	1516886763	0	4	4	4
