starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 13:25:46 2018	1516886746	0	1	2	1
Thu Jan 25 13:25:43 2018	1516886743	0	1	2	1
Thu Jan 25 13:25:43 2018	1516886743	0	1	2	1
Thu Jan 25 13:25:43 2018	1516886743	0	1	2	1
Thu Jan 25 13:25:43 2018	1516886743	0	1	2	1
Thu Jan 25 13:25:43 2018	1516886743	0	1	2	1
Thu Jan 25 13:25:44 2018	1516886744	0	2	2	2
Thu Jan 25 13:25:46 2018	1516886746	0	2	2	1
Thu Jan 25 13:25:43 2018	1516886743	0	2	2	1
Thu Jan 25 13:25:46 2018	1516886746	0	1	2	1
Thu Jan 25 13:25:43 2018	1516886743	0	2	2	2
Thu Jan 25 13:25:44 2018	1516886744	0	2	2	2
Thu Jan 25 13:25:44 2018	1516886744	0	2	2	2
Thu Jan 25 13:25:41 2018	1516886741	0	2	2	2
Thu Jan 25 13:25:44 2018	1516886744	0	2	2	2
Thu Jan 25 13:25:44 2018	1516886744	0	2	2	2
Thu Jan 25 13:25:44 2018	1516886744	0	2	2	2
Thu Jan 25 13:25:41 2018	1516886741	0	2	2	2
Thu Jan 25 13:25:44 2018	1516886744	1	2	3	2
Thu Jan 25 13:25:42 2018	1516886742	0	2	3	2
Thu Jan 25 13:25:42 2018	1516886742	0	2	3	2
Thu Jan 25 13:25:43 2018	1516886743	0	2	3	2
Thu Jan 25 13:25:41 2018	1516886741	1	2	3	2
Thu Jan 25 13:25:44 2018	1516886744	0	2	3	2
Thu Jan 25 13:25:42 2018	1516886742	0	2	3	2
Thu Jan 25 13:25:42 2018	1516886742	0	2	3	2
Thu Jan 25 13:25:45 2018	1516886745	0	2	3	2
Thu Jan 25 13:25:44 2018	1516886744	0	3	3	3
Thu Jan 25 13:25:41 2018	1516886741	0	3	3	3
Thu Jan 25 13:25:41 2018	1516886741	0	3	3	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	3	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	3	3
Thu Jan 25 13:25:41 2018	1516886741	0	3	3	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	3	2
Thu Jan 25 13:25:42 2018	1516886742	0	3	3	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	3	3
Thu Jan 25 13:25:46 2018	1516886746	0	3	3	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	3	2
Thu Jan 25 13:25:40 2018	1516886740	0	3	3	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	3	3
Thu Jan 25 13:25:44 2018	1516886744	0	3	3	3
Thu Jan 25 13:25:40 2018	1516886740	0	3	3	3
Thu Jan 25 13:25:46 2018	1516886746	1	3	3	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	3	3
Thu Jan 25 13:25:45 2018	1516886745	0	3	3	3
Thu Jan 25 13:25:44 2018	1516886744	0	3	3	3
Thu Jan 25 13:25:41 2018	1516886741	0	3	3	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	3	3
Thu Jan 25 13:25:45 2018	1516886745	0	3	3	3
Thu Jan 25 13:25:46 2018	1516886746	0	3	3	3
Thu Jan 25 13:25:41 2018	1516886741	0	3	3	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	4	3
Thu Jan 25 13:25:40 2018	1516886740	0	3	4	3
Thu Jan 25 13:25:41 2018	1516886741	1	3	4	2
Thu Jan 25 13:25:43 2018	1516886743	0	3	4	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	4	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	4	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	4	3
Thu Jan 25 13:25:41 2018	1516886741	0	3	4	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	4	3
Thu Jan 25 13:25:43 2018	1516886743	1	3	4	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	4	3
Thu Jan 25 13:25:44 2018	1516886744	0	3	4	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	4	3
Thu Jan 25 13:25:43 2018	1516886743	0	3	4	3
Thu Jan 25 13:25:45 2018	1516886745	1	3	4	3
Thu Jan 25 13:25:41 2018	1516886741	0	4	4	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	4	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	4	3
Thu Jan 25 13:25:44 2018	1516886744	0	3	4	3
Thu Jan 25 13:25:44 2018	1516886744	0	3	4	3
Thu Jan 25 13:25:39 2018	1516886739	0	3	4	3
Thu Jan 25 13:25:39 2018	1516886739	0	4	4	3
Thu Jan 25 13:25:39 2018	1516886739	0	3	4	3
Thu Jan 25 13:25:44 2018	1516886744	0	4	4	3
Thu Jan 25 13:25:46 2018	1516886746	0	3	4	3
Thu Jan 25 13:25:44 2018	1516886744	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	3
Thu Jan 25 13:25:42 2018	1516886742	0	3	4	3
Thu Jan 25 13:25:39 2018	1516886739	0	4	4	3
Thu Jan 25 13:25:44 2018	1516886744	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:41 2018	1516886741	0	4	4	4
Thu Jan 25 13:25:44 2018	1516886744	0	4	4	4
Thu Jan 25 13:25:46 2018	1516886746	0	4	4	4
Thu Jan 25 13:25:41 2018	1516886741	0	4	4	4
Thu Jan 25 13:25:41 2018	1516886741	0	4	4	4
Thu Jan 25 13:25:44 2018	1516886744	0	4	4	4
Thu Jan 25 13:25:46 2018	1516886746	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:40 2018	1516886740	1	4	4	4
Thu Jan 25 13:25:43 2018	1516886743	0	4	4	4
Thu Jan 25 13:25:40 2018	1516886740	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:40 2018	1516886740	0	4	4	4
Thu Jan 25 13:25:39 2018	1516886739	0	4	4	4
Thu Jan 25 13:25:44 2018	1516886744	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:41 2018	1516886741	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:44 2018	1516886744	0	4	4	4
Thu Jan 25 13:25:43 2018	1516886743	0	4	4	4
Thu Jan 25 13:25:43 2018	1516886743	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:46 2018	1516886746	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	4	4
Thu Jan 25 13:25:41 2018	1516886741	0	4	4	4
Thu Jan 25 13:25:44 2018	1516886744	0	4	4	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	5	4
Thu Jan 25 13:25:40 2018	1516886740	0	4	5	4
Thu Jan 25 13:25:46 2018	1516886746	0	4	5	4
Thu Jan 25 13:25:42 2018	1516886742	1	4	5	4
Thu Jan 25 13:25:39 2018	1516886739	0	4	5	4
Thu Jan 25 13:25:46 2018	1516886746	0	4	5	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	5	4
Thu Jan 25 13:25:46 2018	1516886746	0	4	5	4
Thu Jan 25 13:25:44 2018	1516886744	0	4	5	4
Thu Jan 25 13:25:45 2018	1516886745	0	4	5	4
Thu Jan 25 13:25:44 2018	1516886744	0	4	5	4
Thu Jan 25 13:25:43 2018	1516886743	0	4	5	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	5	4
Thu Jan 25 13:25:45 2018	1516886745	0	4	5	4
Thu Jan 25 13:25:45 2018	1516886745	0	4	5	4
Thu Jan 25 13:25:40 2018	1516886740	1	3	5	3
Thu Jan 25 13:25:44 2018	1516886744	0	4	5	4
Thu Jan 25 13:25:42 2018	1516886742	0	4	5	4
Thu Jan 25 13:25:46 2018	1516886746	0	4	5	4
Thu Jan 25 13:25:41 2018	1516886741	0	5	5	4
Thu Jan 25 13:25:40 2018	1516886740	0	4	5	4
Thu Jan 25 13:25:41 2018	1516886741	0	4	5	4
Thu Jan 25 13:25:43 2018	1516886743	0	5	5	5
Thu Jan 25 13:25:45 2018	1516886745	0	5	5	5
Thu Jan 25 13:25:42 2018	1516886742	1	4	5	4
