starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 14:37:47 2018	1516891067	0	5	6	5
Thu Jan 25 14:37:47 2018	1516891067	0	6	6	6
Thu Jan 25 14:37:47 2018	1516891067	0	7	7	6
Thu Jan 25 14:37:47 2018	1516891067	0	7	7	7
Thu Jan 25 14:37:46 2018	1516891066	0	9	9	9
Thu Jan 25 14:37:54 2018	1516891074	0	9	10	9
Thu Jan 25 14:37:47 2018	1516891067	0	10	11	10
Thu Jan 25 14:37:46 2018	1516891066	0	11	11	11
Thu Jan 25 14:37:46 2018	1516891066	0	12	12	12
Thu Jan 25 14:37:56 2018	1516891076	0	12	12	12
Thu Jan 25 14:37:46 2018	1516891066	0	12	13	12
Thu Jan 25 14:38:02 2018	1516891082	0	14	14	14
Thu Jan 25 14:37:56 2018	1516891076	0	14	14	14
Thu Jan 25 14:38:02 2018	1516891082	0	14	15	14
Thu Jan 25 14:38:02 2018	1516891082	0	15	15	14
Thu Jan 25 14:37:56 2018	1516891076	0	15	15	14
Thu Jan 25 14:37:54 2018	1516891074	0	15	15	15
Thu Jan 25 14:38:02 2018	1516891082	0	15	15	15
Thu Jan 25 14:38:02 2018	1516891082	0	15	16	15
Thu Jan 25 14:37:56 2018	1516891076	0	16	16	16
Thu Jan 25 14:37:54 2018	1516891074	0	16	16	16
Thu Jan 25 14:37:56 2018	1516891076	0	16	16	16
Thu Jan 25 14:37:56 2018	1516891076	0	16	16	16
Thu Jan 25 14:37:46 2018	1516891066	0	17	17	17
Thu Jan 25 14:37:54 2018	1516891074	0	17	17	16
Thu Jan 25 14:37:50 2018	1516891070	0	17	17	17
Thu Jan 25 14:37:56 2018	1516891076	0	19	19	19
Thu Jan 25 14:37:45 2018	1516891065	0	19	19	19
Thu Jan 25 14:37:54 2018	1516891074	1	19	19	19
Thu Jan 25 14:38:02 2018	1516891082	0	20	20	20
Thu Jan 25 14:38:02 2018	1516891082	0	20	20	20
Thu Jan 25 14:37:57 2018	1516891077	0	20	20	20
Thu Jan 25 14:37:55 2018	1516891075	0	20	21	20
Thu Jan 25 14:37:56 2018	1516891076	0	21	21	21
Thu Jan 25 14:37:56 2018	1516891076	0	21	21	21
Thu Jan 25 14:37:56 2018	1516891076	0	21	22	21
Thu Jan 25 14:37:56 2018	1516891076	0	22	22	22
Thu Jan 25 14:38:02 2018	1516891082	0	22	22	22
Thu Jan 25 14:37:46 2018	1516891066	0	22	23	22
Thu Jan 25 14:37:46 2018	1516891066	0	22	23	22
Thu Jan 25 14:37:46 2018	1516891066	0	23	23	23
Thu Jan 25 14:37:53 2018	1516891073	1	23	24	23
Thu Jan 25 14:37:53 2018	1516891073	1	23	24	23
Thu Jan 25 14:38:02 2018	1516891082	3	21	24	21
Thu Jan 25 14:38:02 2018	1516891082	3	21	24	21
Thu Jan 25 14:37:58 2018	1516891078	0	24	24	24
Thu Jan 25 14:37:54 2018	1516891074	0	24	24	24
Thu Jan 25 14:37:55 2018	1516891075	0	25	25	25
Thu Jan 25 14:38:02 2018	1516891082	4	22	25	22
Thu Jan 25 14:37:55 2018	1516891075	0	25	25	25
Thu Jan 25 14:38:02 2018	1516891082	4	22	25	22
Thu Jan 25 14:37:55 2018	1516891075	0	25	25	25
Thu Jan 25 14:37:57 2018	1516891077	0	25	26	25
Thu Jan 25 14:37:45 2018	1516891065	0	25	26	25
Thu Jan 25 14:38:03 2018	1516891083	0	26	26	26
Thu Jan 25 14:37:58 2018	1516891078	0	27	28	27
Thu Jan 25 14:37:55 2018	1516891075	0	27	28	27
Thu Jan 25 14:37:48 2018	1516891068	0	27	28	27
Thu Jan 25 14:37:58 2018	1516891078	0	28	28	27
Thu Jan 25 14:37:58 2018	1516891078	0	27	28	27
Thu Jan 25 14:37:45 2018	1516891065	0	28	28	28
Thu Jan 25 14:37:55 2018	1516891075	0	28	28	28
Thu Jan 25 14:37:46 2018	1516891066	0	28	28	28
Thu Jan 25 14:37:57 2018	1516891077	0	28	28	28
Thu Jan 25 14:37:57 2018	1516891077	0	28	28	28
Thu Jan 25 14:37:52 2018	1516891072	0	28	28	28
Thu Jan 25 14:37:47 2018	1516891067	0	28	29	28
Thu Jan 25 14:37:46 2018	1516891066	0	29	29	29
Thu Jan 25 14:37:55 2018	1516891075	0	29	29	29
Thu Jan 25 14:37:50 2018	1516891070	0	29	29	29
Thu Jan 25 14:38:02 2018	1516891082	0	29	29	29
Thu Jan 25 14:37:55 2018	1516891075	0	29	30	29
Thu Jan 25 14:38:03 2018	1516891083	0	29	30	29
Thu Jan 25 14:37:55 2018	1516891075	0	30	30	30
Thu Jan 25 14:37:54 2018	1516891074	0	29	30	29
Thu Jan 25 14:37:54 2018	1516891074	1	30	30	30
Thu Jan 25 14:37:54 2018	1516891074	1	30	30	29
Thu Jan 25 14:37:54 2018	1516891074	0	30	30	30
Thu Jan 25 14:37:54 2018	1516891074	0	30	31	30
Thu Jan 25 14:37:55 2018	1516891075	0	31	31	31
Thu Jan 25 14:37:57 2018	1516891077	0	31	31	31
Thu Jan 25 14:37:57 2018	1516891077	0	31	31	31
Thu Jan 25 14:37:48 2018	1516891068	0	32	32	32
Thu Jan 25 14:37:47 2018	1516891067	0	32	32	32
Thu Jan 25 14:37:55 2018	1516891075	0	32	32	32
Thu Jan 25 14:38:03 2018	1516891083	1	32	33	32
Thu Jan 25 14:37:50 2018	1516891070	0	33	33	33
Thu Jan 25 14:37:46 2018	1516891066	0	33	33	33
Thu Jan 25 14:37:48 2018	1516891068	0	33	34	33
Thu Jan 25 14:37:45 2018	1516891065	0	33	34	33
Thu Jan 25 14:37:46 2018	1516891066	0	34	34	34
Thu Jan 25 14:37:46 2018	1516891066	0	34	34	34
Thu Jan 25 14:37:52 2018	1516891072	0	34	34	34
Thu Jan 25 14:37:56 2018	1516891076	0	34	34	34
Thu Jan 25 14:37:44 2018	1516891064	0	34	34	34
Thu Jan 25 14:38:02 2018	1516891082	0	34	34	34
Thu Jan 25 14:37:43 2018	1516891063	0	35	35	34
Thu Jan 25 14:37:48 2018	1516891068	0	35	35	34
Thu Jan 25 14:37:58 2018	1516891078	0	35	35	35
Thu Jan 25 14:37:48 2018	1516891068	0	35	35	35
Thu Jan 25 14:37:47 2018	1516891067	0	35	36	35
Thu Jan 25 14:37:53 2018	1516891073	0	35	36	35
Thu Jan 25 14:37:46 2018	1516891066	0	36	36	36
Thu Jan 25 14:37:52 2018	1516891072	1	35	36	35
Thu Jan 25 14:37:53 2018	1516891073	1	36	37	36
Thu Jan 25 14:37:53 2018	1516891073	0	36	37	36
Thu Jan 25 14:37:55 2018	1516891075	0	36	37	36
Thu Jan 25 14:37:46 2018	1516891066	0	37	37	36
Thu Jan 25 14:37:50 2018	1516891070	0	37	37	37
Thu Jan 25 14:37:46 2018	1516891066	0	38	38	38
Thu Jan 25 14:37:46 2018	1516891066	0	38	39	38
Thu Jan 25 14:37:57 2018	1516891077	0	38	39	38
Thu Jan 25 14:37:48 2018	1516891068	0	39	39	38
Thu Jan 25 14:37:57 2018	1516891077	0	39	39	39
Thu Jan 25 14:37:46 2018	1516891066	0	39	39	39
Thu Jan 25 14:37:47 2018	1516891067	0	39	40	39
Thu Jan 25 14:37:46 2018	1516891066	0	40	40	40
Thu Jan 25 14:37:53 2018	1516891073	0	40	40	39
Thu Jan 25 14:37:55 2018	1516891075	0	40	40	40
Thu Jan 25 14:37:53 2018	1516891073	0	40	40	40
Thu Jan 25 14:37:55 2018	1516891075	0	40	40	40
Thu Jan 25 14:37:44 2018	1516891064	0	40	41	40
Thu Jan 25 14:37:57 2018	1516891077	0	40	41	40
Thu Jan 25 14:37:57 2018	1516891077	0	41	41	40
Thu Jan 25 14:37:47 2018	1516891067	0	41	41	41
Thu Jan 25 14:37:50 2018	1516891070	0	41	41	41
Thu Jan 25 14:37:56 2018	1516891076	0	41	41	11
Thu Jan 25 14:37:54 2018	1516891074	0	41	42	41
Thu Jan 25 14:37:44 2018	1516891064	1	41	42	41
Thu Jan 25 14:37:45 2018	1516891065	0	42	42	41
Thu Jan 25 14:37:45 2018	1516891065	0	42	42	41
Thu Jan 25 14:37:57 2018	1516891077	0	42	42	41
Thu Jan 25 14:37:45 2018	1516891065	0	42	42	42
Thu Jan 25 14:37:45 2018	1516891065	0	42	42	42
Thu Jan 25 14:37:45 2018	1516891065	0	42	42	42
Thu Jan 25 14:37:43 2018	1516891063	0	42	42	42
Thu Jan 25 14:38:02 2018	1516891082	0	42	43	42
Thu Jan 25 14:37:56 2018	1516891076	0	42	43	42
Thu Jan 25 14:37:46 2018	1516891066	0	42	43	42
Thu Jan 25 14:37:44 2018	1516891064	0	42	43	42
Thu Jan 25 14:37:56 2018	1516891076	0	42	43	42
Thu Jan 25 14:37:46 2018	1516891066	0	42	43	42
Thu Jan 25 14:38:04 2018	1516891084	0	42	43	42
Thu Jan 25 14:37:46 2018	1516891066	1	42	43	42
Thu Jan 25 14:37:46 2018	1516891066	0	43	43	42
Thu Jan 25 14:37:46 2018	1516891066	0	43	43	42
Thu Jan 25 14:37:50 2018	1516891070	0	43	43	43
Thu Jan 25 14:38:03 2018	1516891083	0	43	43	43
Thu Jan 25 14:37:53 2018	1516891073	1	43	43	43
Thu Jan 25 14:38:03 2018	1516891083	0	43	43	43
Thu Jan 25 14:37:46 2018	1516891066	0	44	44	44
Thu Jan 25 14:38:02 2018	1516891082	0	44	44	43
Thu Jan 25 14:37:46 2018	1516891066	0	44	44	44
Thu Jan 25 14:37:53 2018	1516891073	0	44	44	44
Thu Jan 25 14:37:57 2018	1516891077	0	44	44	44
Thu Jan 25 14:37:57 2018	1516891077	0	44	44	44
Thu Jan 25 14:37:53 2018	1516891073	0	44	44	44
Thu Jan 25 14:37:46 2018	1516891066	0	44	44	44
Thu Jan 25 14:37:53 2018	1516891073	0	44	44	44
Thu Jan 25 14:38:02 2018	1516891082	0	44	44	44
Thu Jan 25 14:37:42 2018	1516891062	0	44	45	44
Thu Jan 25 14:37:44 2018	1516891064	0	44	45	44
Thu Jan 25 14:37:42 2018	1516891062	0	44	45	44
Thu Jan 25 14:37:51 2018	1516891071	0	45	45	45
Thu Jan 25 14:37:42 2018	1516891062	0	45	45	45
Thu Jan 25 14:37:56 2018	1516891076	0	45	45	45
Thu Jan 25 14:37:52 2018	1516891072	1	45	45	45
Thu Jan 25 14:37:57 2018	1516891077	0	45	45	45
Thu Jan 25 14:37:57 2018	1516891077	0	45	46	45
Thu Jan 25 14:37:57 2018	1516891077	0	45	46	45
Thu Jan 25 14:37:52 2018	1516891072	0	45	46	45
Thu Jan 25 14:37:45 2018	1516891065	0	46	46	45
Thu Jan 25 14:38:02 2018	1516891082	0	45	46	45
Thu Jan 25 14:37:45 2018	1516891065	0	46	46	45
Thu Jan 25 14:37:46 2018	1516891066	0	46	46	46
Thu Jan 25 14:37:53 2018	1516891073	1	46	46	46
Thu Jan 25 14:37:53 2018	1516891073	0	46	46	46
Thu Jan 25 14:37:46 2018	1516891066	0	46	46	46
