starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 14:49:30 2018	1516891770	0	4	4	3
Thu Jan 25 14:49:30 2018	1516891770	1	4	4	4
Thu Jan 25 14:49:30 2018	1516891770	0	4	4	3
Thu Jan 25 14:49:30 2018	1516891770	0	4	4	4
Thu Jan 25 14:49:30 2018	1516891770	0	5	5	4
Thu Jan 25 14:49:30 2018	1516891770	0	5	5	5
Thu Jan 25 14:49:30 2018	1516891770	0	5	5	4
Thu Jan 25 14:49:30 2018	1516891770	0	5	5	5
Thu Jan 25 14:49:30 2018	1516891770	0	5	5	5
Thu Jan 25 14:49:30 2018	1516891770	0	5	6	5
Thu Jan 25 14:49:30 2018	1516891770	0	5	6	5
Thu Jan 25 14:49:30 2018	1516891770	0	5	6	5
Thu Jan 25 14:49:30 2018	1516891770	0	5	6	5
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	5
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	5
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	1	6	6	5
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	6	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	6	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	7	6
Thu Jan 25 14:49:36 2018	1516891776	0	6	7	6
Thu Jan 25 14:49:30 2018	1516891770	0	6	7	6
Thu Jan 25 14:49:30 2018	1516891770	0	7	7	6
Thu Jan 25 14:49:34 2018	1516891774	0	7	7	6
Thu Jan 25 14:49:30 2018	1516891770	0	8	8	7
Thu Jan 25 14:49:30 2018	1516891770	0	8	8	8
Thu Jan 25 14:49:33 2018	1516891773	0	8	8	8
Thu Jan 25 14:49:32 2018	1516891772	1	8	8	8
Thu Jan 25 14:49:30 2018	1516891770	0	8	9	8
Thu Jan 25 14:49:32 2018	1516891772	1	8	9	8
Thu Jan 25 14:49:32 2018	1516891772	0	9	9	8
Thu Jan 25 14:49:34 2018	1516891774	0	9	9	8
Thu Jan 25 14:49:34 2018	1516891774	0	9	9	8
Thu Jan 25 14:49:30 2018	1516891770	0	9	9	9
Thu Jan 25 14:49:30 2018	1516891770	0	9	9	9
Thu Jan 25 14:49:32 2018	1516891772	0	9	9	9
Thu Jan 25 14:49:33 2018	1516891773	0	9	9	9
Thu Jan 25 14:49:34 2018	1516891774	0	9	9	9
Thu Jan 25 14:49:34 2018	1516891774	0	9	9	9
Thu Jan 25 14:49:33 2018	1516891773	0	9	9	9
Thu Jan 25 14:49:34 2018	1516891774	0	9	9	9
Thu Jan 25 14:49:32 2018	1516891772	0	9	10	9
Thu Jan 25 14:49:34 2018	1516891774	0	9	10	9
Thu Jan 25 14:49:36 2018	1516891776	0	9	10	9
Thu Jan 25 14:49:36 2018	1516891776	1	9	10	9
