starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 27 17:50:06 2018	1517075406	0	4	5	4
Sat Jan 27 17:50:06 2018	1517075406	0	4	5	4
Sat Jan 27 17:50:06 2018	1517075406	0	6	6	6
Sat Jan 27 17:50:11 2018	1517075411	0	7	7	7
Sat Jan 27 17:50:11 2018	1517075411	0	7	8	7
Sat Jan 27 17:50:03 2018	1517075403	0	8	8	8
Sat Jan 27 17:50:03 2018	1517075403	0	8	8	8
Sat Jan 27 17:50:11 2018	1517075411	0	8	9	8
Sat Jan 27 17:50:03 2018	1517075403	0	9	9	8
Sat Jan 27 17:50:03 2018	1517075403	0	9	9	9
Sat Jan 27 17:50:03 2018	1517075403	0	9	9	9
Sat Jan 27 17:50:00 2018	1517075400	0	10	10	10
Sat Jan 27 17:50:11 2018	1517075411	0	10	10	9
Sat Jan 27 17:50:07 2018	1517075407	0	10	10	10
Sat Jan 27 17:50:01 2018	1517075401	0	10	10	10
Sat Jan 27 17:50:01 2018	1517075401	0	10	11	10
Sat Jan 27 17:50:15 2018	1517075415	0	10	11	10
Sat Jan 27 17:50:07 2018	1517075407	0	10	11	10
Sat Jan 27 17:50:05 2018	1517075405	0	11	11	11
Sat Jan 27 17:50:03 2018	1517075403	0	11	11	11
Sat Jan 27 17:50:00 2018	1517075400	0	11	11	11
Sat Jan 27 17:50:13 2018	1517075413	0	11	11	11
Sat Jan 27 17:50:14 2018	1517075414	0	11	12	11
Sat Jan 27 17:50:14 2018	1517075414	1	11	12	11
Sat Jan 27 17:50:14 2018	1517075414	0	11	12	11
Sat Jan 27 17:50:08 2018	1517075408	0	12	12	12
Sat Jan 27 17:50:04 2018	1517075404	0	12	12	12
Sat Jan 27 17:50:14 2018	1517075414	0	12	12	12
Sat Jan 27 17:50:07 2018	1517075407	0	12	12	12
Sat Jan 27 17:50:15 2018	1517075415	0	12	13	12
Sat Jan 27 17:50:14 2018	1517075414	0	12	13	12
Sat Jan 27 17:50:07 2018	1517075407	0	12	13	12
Sat Jan 27 17:50:14 2018	1517075414	0	13	13	13
Sat Jan 27 17:50:03 2018	1517075403	0	13	13	13
Sat Jan 27 17:50:13 2018	1517075413	0	13	13	13
Sat Jan 27 17:50:04 2018	1517075404	0	13	13	13
Sat Jan 27 17:50:11 2018	1517075411	0	13	13	13
Sat Jan 27 17:50:15 2018	1517075415	0	13	14	13
Sat Jan 27 17:50:05 2018	1517075405	0	14	14	13
Sat Jan 27 17:50:05 2018	1517075405	0	13	14	13
Sat Jan 27 17:50:15 2018	1517075415	0	14	14	13
Sat Jan 27 17:50:03 2018	1517075403	0	14	14	14
Sat Jan 27 17:50:15 2018	1517075415	0	14	14	13
Sat Jan 27 17:50:14 2018	1517075414	0	14	14	14
Sat Jan 27 17:50:14 2018	1517075414	0	14	14	14
Sat Jan 27 17:50:12 2018	1517075412	1	14	14	14
Sat Jan 27 17:50:01 2018	1517075401	0	14	14	14
Sat Jan 27 17:50:01 2018	1517075401	0	14	14	14
Sat Jan 27 17:50:03 2018	1517075403	0	14	15	14
Sat Jan 27 17:50:03 2018	1517075403	0	14	15	14
Sat Jan 27 17:50:03 2018	1517075403	0	14	15	14
Sat Jan 27 17:50:01 2018	1517075401	0	15	15	15
Sat Jan 27 17:50:00 2018	1517075400	0	15	15	15
Sat Jan 27 17:50:02 2018	1517075402	0	15	15	15
Sat Jan 27 17:50:05 2018	1517075405	0	15	15	15
Sat Jan 27 17:50:01 2018	1517075401	1	15	15	15
Sat Jan 27 17:50:00 2018	1517075400	0	15	15	15
Sat Jan 27 17:50:03 2018	1517075403	0	15	15	15
Sat Jan 27 17:50:15 2018	1517075415	0	15	15	15
Sat Jan 27 17:50:01 2018	1517075401	0	15	16	15
Sat Jan 27 17:50:01 2018	1517075401	1	15	16	15
Sat Jan 27 17:50:00 2018	1517075400	0	15	16	15
Sat Jan 27 17:50:11 2018	1517075411	0	15	16	15
Sat Jan 27 17:50:06 2018	1517075406	0	16	16	16
Sat Jan 27 17:50:15 2018	1517075415	0	16	16	16
Sat Jan 27 17:50:15 2018	1517075415	0	16	16	16
Sat Jan 27 17:50:00 2018	1517075400	0	16	16	16
Sat Jan 27 17:50:14 2018	1517075414	0	16	16	16
Sat Jan 27 17:50:05 2018	1517075405	0	16	16	16
Sat Jan 27 17:50:14 2018	1517075414	0	16	16	16
Sat Jan 27 17:50:06 2018	1517075406	0	16	16	16
Sat Jan 27 17:50:00 2018	1517075400	0	16	16	16
Sat Jan 27 17:50:04 2018	1517075404	0	16	16	16
Sat Jan 27 17:50:14 2018	1517075414	0	16	16	16
Sat Jan 27 17:50:14 2018	1517075414	0	16	16	16
Sat Jan 27 17:50:00 2018	1517075400	0	16	17	16
Sat Jan 27 17:50:00 2018	1517075400	0	16	17	16
Sat Jan 27 17:50:04 2018	1517075404	0	16	17	16
Sat Jan 27 17:50:14 2018	1517075414	0	16	17	16
Sat Jan 27 17:50:00 2018	1517075400	0	17	17	17
Sat Jan 27 17:50:06 2018	1517075406	0	17	17	5
Sat Jan 27 17:50:15 2018	1517075415	0	17	17	17
Sat Jan 27 17:50:08 2018	1517075408	0	17	18	17
Sat Jan 27 17:50:01 2018	1517075401	0	17	18	8
Sat Jan 27 17:50:01 2018	1517075401	0	17	18	17
Sat Jan 27 17:50:06 2018	1517075406	0	18	18	18
Sat Jan 27 17:50:06 2018	1517075406	0	18	18	17
Sat Jan 27 17:50:15 2018	1517075415	0	18	18	18
Sat Jan 27 17:50:03 2018	1517075403	0	18	18	17
Sat Jan 27 17:50:03 2018	1517075403	0	18	18	18
Sat Jan 27 17:50:06 2018	1517075406	0	18	18	18
Sat Jan 27 17:50:05 2018	1517075405	0	18	18	18
Sat Jan 27 17:50:08 2018	1517075408	0	18	18	18
Sat Jan 27 17:50:12 2018	1517075412	1	18	18	17
Sat Jan 27 17:50:15 2018	1517075415	1	18	18	18
Sat Jan 27 17:50:03 2018	1517075403	0	18	18	18
Sat Jan 27 17:50:03 2018	1517075403	0	18	18	18
Sat Jan 27 17:50:03 2018	1517075403	0	18	19	18
Sat Jan 27 17:50:01 2018	1517075401	0	19	19	19
Sat Jan 27 17:50:14 2018	1517075414	0	19	19	19
Sat Jan 27 17:50:13 2018	1517075413	0	19	19	19
Sat Jan 27 17:50:14 2018	1517075414	0	19	19	19
Sat Jan 27 17:50:04 2018	1517075404	0	19	19	19
Sat Jan 27 17:50:11 2018	1517075411	0	19	19	19
Sat Jan 27 17:50:01 2018	1517075401	0	19	19	19
Sat Jan 27 17:50:05 2018	1517075405	0	19	19	19
Sat Jan 27 17:50:03 2018	1517075403	0	19	19	19
Sat Jan 27 17:50:11 2018	1517075411	0	19	20	19
Sat Jan 27 17:50:05 2018	1517075405	0	19	20	19
Sat Jan 27 17:50:07 2018	1517075407	0	19	20	19
Sat Jan 27 17:50:15 2018	1517075415	0	19	20	19
Sat Jan 27 17:50:13 2018	1517075413	0	19	20	19
Sat Jan 27 17:50:07 2018	1517075407	0	20	20	20
Sat Jan 27 17:50:06 2018	1517075406	0	20	20	20
Sat Jan 27 17:50:00 2018	1517075400	0	20	20	20
Sat Jan 27 17:50:09 2018	1517075409	1	19	20	19
Sat Jan 27 17:50:12 2018	1517075412	0	20	20	20
Sat Jan 27 17:50:14 2018	1517075414	0	20	20	20
Sat Jan 27 17:50:03 2018	1517075403	0	20	21	20
Sat Jan 27 17:50:12 2018	1517075412	0	20	21	20
Sat Jan 27 17:50:11 2018	1517075411	0	20	21	20
Sat Jan 27 17:50:11 2018	1517075411	0	20	21	20
Sat Jan 27 17:50:03 2018	1517075403	0	20	21	20
Sat Jan 27 17:50:05 2018	1517075405	0	20	21	20
Sat Jan 27 17:50:03 2018	1517075403	0	20	21	20
Sat Jan 27 17:50:03 2018	1517075403	0	20	21	20
Sat Jan 27 17:50:11 2018	1517075411	0	20	21	20
Sat Jan 27 17:50:06 2018	1517075406	0	21	21	21
Sat Jan 27 17:50:03 2018	1517075403	0	21	21	21
Sat Jan 27 17:50:06 2018	1517075406	0	21	21	21
Sat Jan 27 17:50:06 2018	1517075406	0	21	21	21
Sat Jan 27 17:50:08 2018	1517075408	0	21	21	21
Sat Jan 27 17:50:07 2018	1517075407	0	21	21	21
Sat Jan 27 17:50:11 2018	1517075411	0	21	21	21
Sat Jan 27 17:50:06 2018	1517075406	0	21	22	19
Sat Jan 27 17:50:15 2018	1517075415	0	21	22	21
Sat Jan 27 17:50:06 2018	1517075406	0	21	22	21
Sat Jan 27 17:50:06 2018	1517075406	0	21	22	21
Sat Jan 27 17:50:11 2018	1517075411	0	22	22	22
Sat Jan 27 17:50:05 2018	1517075405	0	22	22	21
Sat Jan 27 17:50:14 2018	1517075414	0	22	22	21
Sat Jan 27 17:50:05 2018	1517075405	0	22	22	22
Sat Jan 27 17:50:03 2018	1517075403	0	22	22	21
Sat Jan 27 17:50:00 2018	1517075400	0	22	22	22
Sat Jan 27 17:50:13 2018	1517075413	0	22	22	22
Sat Jan 27 17:50:08 2018	1517075408	0	22	22	22
Sat Jan 27 17:50:12 2018	1517075412	0	22	22	22
Sat Jan 27 17:50:14 2018	1517075414	0	22	22	22
Sat Jan 27 17:50:13 2018	1517075413	0	22	22	22
Sat Jan 27 17:50:06 2018	1517075406	0	22	22	22
Sat Jan 27 17:50:12 2018	1517075412	0	22	23	22
Sat Jan 27 17:50:03 2018	1517075403	0	22	23	22
Sat Jan 27 17:50:12 2018	1517075412	0	22	23	22
Sat Jan 27 17:50:03 2018	1517075403	0	22	23	22
Sat Jan 27 17:50:00 2018	1517075400	0	23	23	23
Sat Jan 27 17:50:08 2018	1517075408	0	23	23	23
Sat Jan 27 17:50:12 2018	1517075412	0	23	23	23
Sat Jan 27 17:50:12 2018	1517075412	0	23	23	23
Sat Jan 27 17:50:13 2018	1517075413	0	23	23	23
Sat Jan 27 17:50:07 2018	1517075407	0	23	23	23
Sat Jan 27 17:50:07 2018	1517075407	0	23	23	23
Sat Jan 27 17:50:16 2018	1517075416	0	23	24	23
Sat Jan 27 17:50:10 2018	1517075410	0	23	24	23
Sat Jan 27 17:50:00 2018	1517075400	0	23	24	23
Sat Jan 27 17:50:15 2018	1517075415	0	24	24	24
Sat Jan 27 17:50:02 2018	1517075402	0	24	24	23
Sat Jan 27 17:50:08 2018	1517075408	1	23	24	23
Sat Jan 27 17:50:12 2018	1517075412	0	23	24	23
Sat Jan 27 17:50:00 2018	1517075400	0	24	24	23
Sat Jan 27 17:50:07 2018	1517075407	0	24	24	23
Sat Jan 27 17:50:00 2018	1517075400	0	24	24	23
Sat Jan 27 17:50:00 2018	1517075400	0	24	24	24
Sat Jan 27 17:50:15 2018	1517075415	0	24	24	24
Sat Jan 27 17:50:00 2018	1517075400	1	23	24	23
Sat Jan 27 17:50:06 2018	1517075406	1	23	24	23
Sat Jan 27 17:50:07 2018	1517075407	0	24	24	24
Sat Jan 27 17:50:05 2018	1517075405	0	24	24	24
Sat Jan 27 17:50:06 2018	1517075406	0	24	24	24
Sat Jan 27 17:50:05 2018	1517075405	0	24	24	24
Sat Jan 27 17:50:15 2018	1517075415	0	24	24	19
Sat Jan 27 17:50:05 2018	1517075405	0	24	24	24
Sat Jan 27 17:50:13 2018	1517075413	0	24	24	24
Sat Jan 27 17:50:05 2018	1517075405	0	24	24	24
Sat Jan 27 17:50:02 2018	1517075402	0	24	25	24
Sat Jan 27 17:50:05 2018	1517075405	0	24	25	24
Sat Jan 27 17:50:03 2018	1517075403	0	24	25	24
Sat Jan 27 17:50:05 2018	1517075405	0	24	25	24
Sat Jan 27 17:50:06 2018	1517075406	0	25	25	24
Sat Jan 27 17:50:03 2018	1517075403	0	25	25	25
Sat Jan 27 17:50:11 2018	1517075411	0	25	25	25
Sat Jan 27 17:50:05 2018	1517075405	0	25	25	25
Sat Jan 27 17:50:00 2018	1517075400	0	25	25	25
Sat Jan 27 17:50:12 2018	1517075412	3	22	26	22
Sat Jan 27 17:50:00 2018	1517075400	0	25	26	25
Sat Jan 27 17:50:12 2018	1517075412	0	25	26	25
Sat Jan 27 17:50:11 2018	1517075411	0	25	26	25
Sat Jan 27 17:50:11 2018	1517075411	0	26	26	26
Sat Jan 27 17:50:12 2018	1517075412	0	26	26	26
Sat Jan 27 17:50:12 2018	1517075412	0	26	26	26
Sat Jan 27 17:50:07 2018	1517075407	0	26	26	26
Sat Jan 27 17:50:05 2018	1517075405	0	26	26	26
Sat Jan 27 17:50:09 2018	1517075409	0	26	26	26
Sat Jan 27 17:50:04 2018	1517075404	0	26	26	26
Sat Jan 27 17:50:03 2018	1517075403	0	26	26	26
Sat Jan 27 17:50:00 2018	1517075400	0	26	26	26
Sat Jan 27 17:50:03 2018	1517075403	0	26	26	26
Sat Jan 27 17:50:13 2018	1517075413	0	26	27	26
Sat Jan 27 17:50:10 2018	1517075410	0	26	27	26
Sat Jan 27 17:50:14 2018	1517075414	0	26	27	26
Sat Jan 27 17:50:06 2018	1517075406	0	26	27	26
Sat Jan 27 17:50:07 2018	1517075407	0	26	27	26
Sat Jan 27 17:50:06 2018	1517075406	0	26	27	26
Sat Jan 27 17:50:13 2018	1517075413	0	27	27	26
Sat Jan 27 17:50:10 2018	1517075410	0	27	27	27
Sat Jan 27 17:50:02 2018	1517075402	0	27	27	27
Sat Jan 27 17:50:14 2018	1517075414	0	27	27	27
Sat Jan 27 17:50:17 2018	1517075417	0	27	27	27
Sat Jan 27 17:50:00 2018	1517075400	0	27	28	27
Sat Jan 27 17:50:05 2018	1517075405	0	27	28	27
Sat Jan 27 17:50:00 2018	1517075400	0	27	28	27
Sat Jan 27 17:50:05 2018	1517075405	0	27	28	27
Sat Jan 27 17:50:17 2018	1517075417	0	27	28	27
Sat Jan 27 17:50:00 2018	1517075400	0	27	28	27
Sat Jan 27 17:50:06 2018	1517075406	0	27	28	27
Sat Jan 27 17:50:00 2018	1517075400	0	27	28	27
Sat Jan 27 17:50:14 2018	1517075414	0	28	28	27
Sat Jan 27 17:50:09 2018	1517075409	0	28	28	28
Sat Jan 27 17:50:08 2018	1517075408	0	28	28	28
Sat Jan 27 17:50:09 2018	1517075409	1	28	28	28
Sat Jan 27 17:50:12 2018	1517075412	0	28	28	28
Sat Jan 27 17:50:09 2018	1517075409	1	28	28	28
Sat Jan 27 17:50:16 2018	1517075416	0	28	28	28
Sat Jan 27 17:50:11 2018	1517075411	0	28	28	28
Sat Jan 27 17:50:16 2018	1517075416	1	28	29	28
Sat Jan 27 17:50:02 2018	1517075402	0	28	29	28
Sat Jan 27 17:50:16 2018	1517075416	0	28	29	28
Sat Jan 27 17:50:02 2018	1517075402	0	28	29	28
Sat Jan 27 17:50:02 2018	1517075402	0	28	29	28
Sat Jan 27 17:50:02 2018	1517075402	0	28	29	28
Sat Jan 27 17:50:07 2018	1517075407	0	28	29	28
Sat Jan 27 17:50:10 2018	1517075410	0	28	29	28
Sat Jan 27 17:50:03 2018	1517075403	0	29	29	28
Sat Jan 27 17:50:00 2018	1517075400	0	28	29	28
Sat Jan 27 17:50:07 2018	1517075407	0	28	29	28
Sat Jan 27 17:50:02 2018	1517075402	0	29	29	28
Sat Jan 27 17:50:17 2018	1517075417	0	29	29	28
Sat Jan 27 17:50:10 2018	1517075410	1	28	29	28
Sat Jan 27 17:50:00 2018	1517075400	0	29	29	29
Sat Jan 27 17:50:02 2018	1517075402	0	29	29	29
Sat Jan 27 17:50:07 2018	1517075407	1	29	29	29
Sat Jan 27 17:50:07 2018	1517075407	0	29	29	28
Sat Jan 27 17:50:14 2018	1517075414	0	29	29	29
Sat Jan 27 17:50:05 2018	1517075405	0	29	29	29
Sat Jan 27 17:50:07 2018	1517075407	0	29	29	29
